timestep,avg_speed,congestion_fraction
360,22.060119,0.716000
361,22.167765,0.715000
362,21.802312,0.729000
363,21.684789,0.729000
364,21.588222,0.730000
365,21.768126,0.727000
366,21.957571,0.717000
367,21.758391,0.724000
368,21.763119,0.716000
369,21.611547,0.724000
370,21.578559,0.726000
371,21.741807,0.729000
372,21.720941,0.728000
373,21.938813,0.727000
374,21.586520,0.740000
375,21.442283,0.746000
376,21.511965,0.745000
377,21.750016,0.738000
378,21.872524,0.736000
379,21.854989,0.732000
380,21.859649,0.731000
381,21.797822,0.731000
382,22.169080,0.724000
383,22.012981,0.730000
384,22.084455,0.730000
385,21.909464,0.731000
386,22.467238,0.722000
387,22.511738,0.718000
388,22.398746,0.715000
389,22.205138,0.725000
390,22.078337,0.724000
391,21.926168,0.720000
392,22.063972,0.710000
393,22.184068,0.707000
394,22.245556,0.708000
395,22.479992,0.706000
396,22.794175,0.700000
397,22.728865,0.701000
398,22.870815,0.703000
399,22.878536,0.713000
400,22.851016,0.711000
401,23.092333,0.709000
402,23.181538,0.700000
403,22.877826,0.706000
404,22.748751,0.709000
405,22.550914,0.711000
406,22.618783,0.713000
407,22.735317,0.708000
408,22.681268,0.703000
409,22.367220,0.715000
410,22.123018,0.719000
411,22.267964,0.719000
412,22.198707,0.715000
413,22.222473,0.713000
414,22.325812,0.716000
415,22.235098,0.709000
416,22.055871,0.711000
417,22.000391,0.716000
418,21.883308,0.726000
419,21.655102,0.730000
420,21.597515,0.731000
421,21.639234,0.736000
422,21.659480,0.736000
423,21.303947,0.732000
424,21.171392,0.731000
425,20.965130,0.739000
426,21.143940,0.741000
427,21.228529,0.739000
428,21.334886,0.736000
429,21.502665,0.730000
430,21.415262,0.730000
431,21.789168,0.725000
432,21.871828,0.734000
433,21.584960,0.728000
434,21.528845,0.734000
435,21.658267,0.732000
436,21.647149,0.735000
437,21.880845,0.735000
438,21.930610,0.732000
439,21.750699,0.735000
440,21.356439,0.744000
441,21.175555,0.751000
442,21.147773,0.746000
443,21.067793,0.748000
444,21.083132,0.752000
445,21.056189,0.747000
446,20.869710,0.754000
447,20.896407,0.740000
448,21.023933,0.749000
449,21.091659,0.743000
450,20.997185,0.752000
451,20.999581,0.758000
452,21.010847,0.764000
453,21.056718,0.746000
454,21.312106,0.733000
455,21.254976,0.730000
456,21.273075,0.728000
457,21.351442,0.746000
458,21.361366,0.743000
459,21.529028,0.737000
460,21.816786,0.728000
461,21.832029,0.724000
462,22.000646,0.728000
463,22.016676,0.726000
464,21.808649,0.722000
465,21.931623,0.715000
466,21.938771,0.715000
467,22.005692,0.721000
468,22.118126,0.716000
469,22.181175,0.711000
470,22.370253,0.707000
471,22.309483,0.705000
472,22.519535,0.700000
473,22.550102,0.702000
474,22.417141,0.714000
475,22.331034,0.721000
476,22.109199,0.719000
477,22.285279,0.716000
478,22.196172,0.714000
479,22.129365,0.708000
480,22.252476,0.708000
481,22.322794,0.710000
482,22.317490,0.713000
483,22.331632,0.714000
484,22.129577,0.718000
485,22.130736,0.722000
486,21.927759,0.725000
487,21.693200,0.735000
488,21.500395,0.747000
489,21.571014,0.746000
490,21.283131,0.752000
491,21.332690,0.751000
492,21.238905,0.745000
493,21.209771,0.737000
494,21.275309,0.735000
495,21.456279,0.726000
496,21.242396,0.733000
497,21.291733,0.727000
498,21.392247,0.728000
499,21.523894,0.718000
500,21.355193,0.728000
501,21.358288,0.730000
502,20.997881,0.741000
503,21.150986,0.741000
504,21.473421,0.727000
505,21.508937,0.732000
506,21.594013,0.721000
507,21.376850,0.738000
508,21.199492,0.740000
509,21.134510,0.747000
510,21.021350,0.746000
511,21.279575,0.734000
512,21.056236,0.749000
513,20.829916,0.753000
514,20.993377,0.754000
515,20.913634,0.760000
516,20.797292,0.751000
517,20.679866,0.758000
518,20.722113,0.752000
519,20.755794,0.764000
520,21.163220,0.752000
521,21.164820,0.751000
522,21.233762,0.749000
523,21.217159,0.747000
524,21.257075,0.739000
525,21.476874,0.743000
526,21.791403,0.734000
527,21.774592,0.722000
528,21.849397,0.718000
529,21.956886,0.718000
530,22.004222,0.722000
531,22.088328,0.715000
532,22.120127,0.718000
533,21.875910,0.724000
534,21.763741,0.733000
535,21.575216,0.738000
536,21.699291,0.721000
537,21.933846,0.715000
538,22.230876,0.706000
539,22.008125,0.715000
540,22.057773,0.711000
541,21.872471,0.721000
542,21.678573,0.723000
543,21.567430,0.730000
544,21.643804,0.724000
545,21.441031,0.735000
546,21.194530,0.743000
547,21.685116,0.734000
548,21.435273,0.738000
549,21.284268,0.745000
550,21.310857,0.741000
551,21.334771,0.732000
552,21.554504,0.729000
553,21.336972,0.734000
554,21.192112,0.736000
555,21.161552,0.734000
556,21.097995,0.741000
557,20.994524,0.740000
558,20.967459,0.745000
559,20.713534,0.755000
560,20.514786,0.762000
561,20.190028,0.774000
562,20.462903,0.760000
563,20.706912,0.759000
564,20.975235,0.759000
565,21.402235,0.742000
566,21.417950,0.739000
567,21.305368,0.745000
568,21.276532,0.752000
569,21.308169,0.749000
570,21.521701,0.744000
571,21.646131,0.744000
572,21.618846,0.742000
573,21.621338,0.738000
574,21.747176,0.724000
575,21.783199,0.728000
576,21.781440,0.718000
577,21.768399,0.716000
578,21.644683,0.719000
579,21.782749,0.719000
580,21.952587,0.718000
581,21.948666,0.709000
582,21.699008,0.724000
583,21.620787,0.728000
584,21.452950,0.730000
585,21.305550,0.738000
586,21.310981,0.748000
587,20.935674,0.746000
588,21.071060,0.749000
589,21.124602,0.739000
590,21.429293,0.732000
591,21.263477,0.731000
592,21.118402,0.739000
593,20.977485,0.742000
594,20.885877,0.739000
595,20.773040,0.748000
596,20.650980,0.755000
597,21.008399,0.746000
598,20.756714,0.749000
599,20.761001,0.747000
600,20.864331,0.745000
601,20.881398,0.745000
602,20.978815,0.742000
603,21.001914,0.744000
604,21.046526,0.752000
605,21.280405,0.748000
606,21.436374,0.747000
607,21.198081,0.751000
608,20.963942,0.750000
609,21.242341,0.732000
610,21.293619,0.735000
611,21.568590,0.721000
612,21.645923,0.723000
613,21.673731,0.723000
614,21.705715,0.725000
615,21.548430,0.720000
616,21.601155,0.723000
617,21.493779,0.728000
618,21.710732,0.727000
619,21.788537,0.726000
620,21.959404,0.724000
621,22.070183,0.728000
622,22.002739,0.726000
623,21.978394,0.726000
624,22.135014,0.736000
625,22.240757,0.733000
626,22.176501,0.736000
627,21.974071,0.735000
628,21.875672,0.733000
629,21.994278,0.729000
630,21.797366,0.740000
631,21.658996,0.747000
632,21.591601,0.748000
633,21.469331,0.746000
634,21.523401,0.747000
635,21.507004,0.737000
636,21.441987,0.737000
637,21.498699,0.749000
638,21.540207,0.751000
639,21.514665,0.739000
640,21.572264,0.738000
641,21.602122,0.736000
642,21.835310,0.736000
643,21.717737,0.728000
644,21.811515,0.725000
645,21.799730,0.731000
646,22.028119,0.737000
647,21.705066,0.738000
648,21.615208,0.740000
649,21.794524,0.714000
650,21.727482,0.722000
651,21.508412,0.730000
652,21.423663,0.739000
653,21.498566,0.732000
654,21.534599,0.729000
655,21.671665,0.729000
656,21.599042,0.736000
657,21.303562,0.741000
658,21.536075,0.747000
659,21.792734,0.743000
660,22.011153,0.739000
661,22.299989,0.733000
662,22.432926,0.724000
663,22.596376,0.724000
664,22.340655,0.724000
665,22.140745,0.725000
666,21.774342,0.734000
667,21.631755,0.744000
668,21.913629,0.736000
669,21.686103,0.736000
670,21.580510,0.750000
671,21.611116,0.746000
672,21.689945,0.734000
673,22.001183,0.731000
674,22.112358,0.720000
675,22.090387,0.720000
676,22.505886,0.714000
677,22.504441,0.713000
678,22.099053,0.722000
679,22.525102,0.714000
680,22.361289,0.714000
681,22.211623,0.716000
682,22.237122,0.724000
683,21.852697,0.734000
684,21.841266,0.737000
685,21.870065,0.731000
686,21.938356,0.728000
687,21.686656,0.736000
688,21.585091,0.745000
689,21.622074,0.733000
690,21.767344,0.732000
691,21.897843,0.732000
692,22.004581,0.728000
693,21.709873,0.727000
694,21.802477,0.728000
695,21.827554,0.725000
696,21.551191,0.739000
697,21.548014,0.732000
698,21.224772,0.749000
699,21.122636,0.762000
700,20.939286,0.760000
701,21.088221,0.758000
702,21.346350,0.740000
